threshold,topN,train_BA,train_BA_std,val_BA,val_BA_std,test_BA,test_BA_std,ext_BA,ext_BA_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,0.5483458107517649,0.09607953710992373,0.5483458107517649,0.09607953710992373,0.5167030600118835,0.03838503626916629,0.515824948715444,0.035385661068180696,0.4333333333333333,0.149071198499986,0.5103157894736843,0.02306680650473469,0.517793427230047,0.03978731283908077,0.5159169550173011,0.03559139341349146
0.1,Top100,0.6194060143176465,0.030320032581002142,0.6194060143176465,0.030320032581002142,0.5127297555385791,0.01173738440740922,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top120,0.7772382119832468,0.06895129763249859,0.7772382119832468,0.06895129763249859,0.5714132175242106,0.04558851196981741,0.4997167138810198,0.0006334470191217716,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top130,0.8054831880448774,0.054783220464647356,0.8054831880448774,0.054783220464647356,0.5743212261822193,0.0457344277800313,0.49943342776203964,0.0007758109879676855,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top140,0.8286424144383714,0.044585126430942056,0.8286424144383714,0.044585126430942056,0.5919481678679844,0.025565033953477312,0.49943342776203964,0.0007758109879676855,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top15,0.5361379356535717,0.08080688068789958,0.5361379356535717,0.08080688068789958,0.5089081289081289,0.019919181790907212,0.5086288300608903,0.019294650582444225,0.4666666666666666,0.07453559924999299,0.5038947368421052,0.008708896333420216,0.5099342723004694,0.02221370817084298,0.508719723183391,0.019497893783043146
0.1,Top20,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top25,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top30,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top40,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top50,0.5582188859506952,0.1292772672009954,0.5582188859506952,0.1292772672009954,0.51001924001924,0.022403701765906968,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top60,0.5633360063716506,0.13703536276084652,0.5633360063716506,0.13703536276084652,0.5113179413179413,0.02530768615227036,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top70,0.5110240567790013,0.01343862791216007,0.5110240567790013,0.01343862791216007,0.5012987012987014,0.002903984386363348,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top80,0.5221558550829689,0.013960941871212416,0.5221558550829689,0.013960941871212416,0.5021810542398778,0.003899430971029831,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.1,Top90,0.581616023655642,0.15809518868718977,0.581616023655642,0.15809518868718977,0.5113179413179413,0.02530768615227036,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top10,0.7426276877283217,0.22803401689114633,0.7426276877283217,0.22803401689114633,0.6476996788614435,0.14841480742457044,0.5538048256325095,0.06816471997465448,0.4333333333333333,0.09938079899999067,0.527157894736842,0.06131703183742508,0.5421877934272301,0.0594443846028205,0.5541176470588235,0.06851674165608067
0.2,Top100,0.8893804728808401,0.02514497121930774,0.8893804728808401,0.02514497121930774,0.6105906670038296,0.024227524644951225,0.49943342776203964,0.0007758109879676855,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top120,0.9404817652596028,0.01743892048321453,0.9404817652596028,0.01743892048321453,0.686400992866325,0.0409614799625753,0.5017322783367523,0.004705444621142839,0.5,0.0,0.5,0.0,0.5,0.0,0.5011764705882353,0.0026306682088232756
0.2,Top130,0.9519451041496163,0.012499799555397735,0.9519451041496163,0.012499799555397735,0.6811495526082308,0.04057097513465766,0.504031128911465,0.0042454943508176465,0.5,0.0,0.5,0.0,0.5,0.0,0.5023529411764706,0.0032218973970891984
0.2,Top140,0.9508104392854756,0.013220210413470629,0.9508104392854756,0.013220210413470629,0.7005654950308272,0.0482285285863264,0.5074794047735339,0.005880963982537904,0.5,0.0,0.5,0.0,0.5,0.0,0.5058823529411764,0.0041594516540385
0.2,Top15,0.5903679765703013,0.202068938600302,0.5903679765703013,0.202068938600302,0.5597450697450698,0.13359403727044197,0.524170492657354,0.054046864631503176,0.4444444444444445,0.12422599874998833,0.516842105263158,0.03766009225262806,0.524244131455399,0.05421152598971319,0.5242906574394464,0.054315561252763045
0.2,Top20,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top25,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top30,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top40,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top50,0.6388043269640876,0.20841158843564792,0.6388043269640876,0.20841158843564792,0.5537806637806637,0.0878668153640626,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top60,0.6415221043903291,0.2083867107299321,0.6415221043903291,0.2083867107299321,0.5402528435616671,0.07367502655866731,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top70,0.6433140188123614,0.13098972230583286,0.6433140188123614,0.13098972230583286,0.5201237727414199,0.026544839362282885,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top80,0.7359727903566984,0.0351163898665028,0.7359727903566984,0.0351163898665028,0.5287561736105127,0.015451563360359853,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.2,Top90,0.7586962506661156,0.12019259056999375,0.7586962506661156,0.12019259056999375,0.56293755048972,0.08016501494406052,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.3,Top10,0.7771551825617266,0.25317140580984526,0.7771551825617266,0.25317140580984526,0.6788577653283536,0.16576024219585322,0.5980821204128814,0.09612483826688553,0.44444444444444436,0.05555555555555562,0.5849473684210527,0.08090519741975224,0.5888920187793427,0.0881579862808007,0.5991003460207612,0.09693788763666189
0.3,Top100,0.9661243768978769,0.007043267423715136,0.9661243768978769,0.007043267423715136,0.7107696824783606,0.029770419713171577,0.5063299794861776,0.008899376574392185,0.5,0.0,0.5,0.0,0.5,0.0,0.5058823529411764,0.007204381596421121
0.3,Top120,0.9735123338262495,0.010897509587304146,0.9735123338262495,0.010897509587304146,0.7498684856359874,0.04535068276871123,0.5132265312103155,0.005880963982537897,0.5,0.0,0.5,0.0,0.5,0.0,0.5117647058823529,0.00415945165403853
0.3,Top130,0.9798204969579594,0.004064564292377541,0.9798204969579594,0.004064564292377541,0.750069784337286,0.04605649804429529,0.5132265312103155,0.005880963982537897,0.5,0.0,0.5,0.0,0.5,0.0,0.5117647058823529,0.00415945165403853
0.3,Top140,0.9766975291496411,0.0054662850531112675,0.9766975291496411,0.0054662850531112675,0.7568153426743398,0.04203897086926504,0.5155253817850282,0.008714513246631233,0.5,0.0,0.5,0.0,0.5014084507042254,0.0031493915176053493,0.5141176470588235,0.006706914265289109
0.3,Top15,0.5941045964343993,0.2104242746225011,0.5941045964343993,0.2104242746225011,0.5658682058682059,0.14728578587725885,0.5348148871739767,0.0778484543499976,0.45555555555555555,0.09938079899999065,0.5273684210526316,0.06119764991052055,0.5306948356807512,0.06863573914034565,0.5350173010380622,0.07830106550968122
0.3,Top20,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.3,Top25,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.3,Top30,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.3,Top40,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.3,Top50,0.6921844344451079,0.2632086643270903,0.6921844344451079,0.2632086643270903,0.6005605211781683,0.14082643104408954,0.5057471264367817,0.008127664151569505,0.5,0.0,0.5,0.0,0.5014084507042254,0.0031493915176053337,0.5058823529411764,0.008318903308077033
0.3,Top60,0.6915178344054265,0.26230482789916226,0.6915178344054265,0.26230482789916226,0.5903307656395892,0.12951954160517679,0.5043144150304452,0.007465741787046651,0.5,0.0,0.5,0.0,0.5014084507042254,0.0031493915176053337,0.5047058823529411,0.007669649888473717
0.3,Top70,0.7716163055390397,0.24804056435567662,0.7716163055390397,0.24804056435567662,0.5986238505503211,0.0907848967832128,0.5028817036241087,0.004438365393621339,0.5,0.0,0.5,0.0,0.5,0.0,0.5035294117647059,0.005261336417646548
0.3,Top80,0.9450638956154711,0.02003715972743914,0.9450638956154711,0.02003715972743914,0.64982287547273,0.040573484561683186,0.5063299794861776,0.004613066720735003,0.5,0.0,0.5,0.0,0.5,0.0,0.5070588235294118,0.004921529567847479
0.3,Top90,0.9543930405197703,0.023991612168247533,0.9543930405197703,0.023991612168247533,0.6689446888445435,0.07149566873640761,0.5051805541988212,0.004137222961024497,0.5,0.0,0.5,0.0,0.5,0.0,0.5058823529411764,0.0041594516540385
0.4,Top10,0.7866718799698007,0.2616961457228739,0.7866718799698007,0.2616961457228739,0.6912465622612681,0.17592019996851893,0.6202696102373743,0.11062830981751011,0.3888888888888889,0.11111111111111112,0.5806315789473684,0.08277510164006774,0.6069859154929578,0.09833109684463882,0.6193079584775086,0.10979969921029879
0.4,Top100,0.9839482423547775,0.0021885380222256725,0.9839482423547775,0.0021885380222256725,0.7549656693511485,0.030476161290908216,0.5155253817850282,0.006854449773998494,0.5,0.0,0.5,0.0,0.5014084507042254,0.0031493915176053493,0.5141176470588235,0.00526133641764659
0.4,Top120,0.9852190868703061,0.0026550263873953497,0.9852190868703061,0.0026550263873953497,0.7745222958746389,0.046204170643294164,0.5270196346585914,0.015527074821983771,0.5,0.0,0.5,0.0,0.5126760563380282,0.01526724182301322,0.5258823529411765,0.014764588703542527
0.4,Top130,0.9867120071957455,0.0027600021886383806,0.9867120071957455,0.0027600021886383806,0.7734692704197629,0.044021175172862165,0.5235713587965224,0.009125190752622669,0.5,0.0,0.5,0.0,0.5070422535211268,0.008624963883039342,0.5223529411764706,0.00872493939658314
0.4,Top140,0.9860578753838787,0.0030469217440432317,0.9860578753838787,0.0030469217440432317,0.7797528202033126,0.03839731262468576,0.5247207840838788,0.008947610179569146,0.5,0.0,0.5,0.0,0.5084507042253521,0.007714402218382624,0.5235294117647059,0.007204381596421086
0.4,Top15,0.5955385847195499,0.2136307699070363,0.5955385847195499,0.2136307699070363,0.5684656084656086,0.15309375464998562,0.5397121552538179,0.08879907868056214,0.4333333333333333,0.149071198499986,0.5286315789473685,0.0640221568294677,0.5356619718309859,0.07974259322576716,0.5393771626297579,0.08805001240120279
0.4,Top20,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.4,Top25,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.4,Top30,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.4,Top40,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.4,Top50,0.6958802691006415,0.2682267327182561,0.6958802691006415,0.2682267327182561,0.6152443411708118,0.16035613736059032,0.5100778222786624,0.014534971946255276,0.36666666666666664,0.2173067468400883,0.484,0.026076809620810597,0.50437558685446,0.007706498049772252,0.5103806228373703,0.015199333654392619
0.4,Top60,0.6958173347109166,0.2681525466204833,0.6958173347109166,0.2681525466204833,0.6123458322723028,0.15446607231325615,0.5097782553482466,0.013542726955422598,0.4666666666666666,0.07453559924999299,0.496,0.00894427190999917,0.5049671361502347,0.006902877426621103,0.5090657439446367,0.01242884225413852
0.4,Top70,0.8005780331524172,0.2533356668339251,0.8005780331524172,0.2533356668339251,0.656090251252016,0.1441723161248711,0.5132265312103155,0.01592423827847521,0.5,0.0,0.5,0.0,0.504225352112676,0.006298783035210654,0.5129411764705882,0.014646940703516182
0.4,Top80,0.9847752913204753,0.001966388882217509,0.9847752913204753,0.001966388882217509,0.7363280891870863,0.0367598146286927,0.5120771059229592,0.004148515603326335,0.5,0.0,0.5,0.0,0.5,0.0,0.5105882352941176,0.0026306682088232756
0.4,Top90,0.9855388161335128,0.00610268899660528,0.9855388161335128,0.00610268899660528,0.7441458297026573,0.053306262046877335,0.5120771059229592,0.009125190752622659,0.5,0.0,0.5,0.0,0.5014084507042254,0.0031493915176053493,0.5117647058823529,0.0072043815964211375
0.5,Top10,0.868720518926931,0.15756003832460083,0.868720518926931,0.15756003832460083,0.7253208697620462,0.135354760568707,0.6387092572693823,0.12663230121855085,0.3333333333333333,0.1712337223046938,0.5791578947368421,0.0841921032479144,0.6214460093896713,0.11087228658922339,0.6370242214532873,0.12510146024208202
0.5,Top100,0.9900547355187737,0.0025132088929478457,0.9900547355187737,0.0025132088929478457,0.7846944732236174,0.026981552222302228,0.5373644622447983,0.02702407011913596,0.5,0.0,0.5052631578947369,0.007206875756646931,0.5183098591549296,0.024190935263827693,0.5364705882352941,0.025437350953458403
0.5,Top120,0.9901666499626046,0.0026764204286789614,0.9901666499626046,0.0026764204286789614,0.7913312705710889,0.03689395908264718,0.5500081404057179,0.023646861668185325,0.5,0.0,0.5105263157894737,0.011008684559658907,0.5338028169014084,0.02249115411643849,0.5494117647058824,0.0226298636019663
0.5,Top130,0.9914940566714187,0.002997943249648914,0.9914940566714187,0.002997943249648914,0.7882081392961069,0.03730432568378759,0.547426003712025,0.022521867941165966,0.4666666666666667,0.074535599249993,0.5091578947368421,0.0059149090935100585,0.5289107981220658,0.019691643045631927,0.5467128027681661,0.021103011653526803
0.5,Top140,0.9904608403669879,0.002752318240174816,0.9904608403669879,0.002752318240174816,0.795178845556139,0.03848361534421605,0.5465598645436488,0.02431850095015852,0.5,0.0,0.5078947368421053,0.011768778828946244,0.5295774647887324,0.02303581300534665,0.5458823529411765,0.023307779713128203
0.5,Top15,0.7396068005503431,0.13958704010952883,0.7396068005503431,0.13958704010952883,0.6365857383357383,0.12148218864074879,0.5474911269577676,0.09989197698963122,0.45555555555555555,0.09938079899999065,0.5391578947368421,0.08755971448736018,0.5407793427230047,0.08730191554157621,0.5470588235294118,0.09878150366909803
0.5,Top20,0.6623090184014104,0.034168984556397095,0.6623090184014104,0.034168984556397095,0.5659166666666666,0.0241587337437162,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.5,Top25,0.6484723705288564,0.042995151064498235,0.6484723705288564,0.042995151064498235,0.5607640692640692,0.03621579020027335,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.5,Top30,0.711186928054855,0.017947286773989518,0.711186928054855,0.017947286773989518,0.5852694805194805,0.0402835580846258,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.5,Top40,0.7140589639203397,0.04741079100460407,0.7140589639203397,0.04741079100460407,0.5845432900432901,0.03850348541233974,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.5,Top50,0.8250701989278072,0.1653383224928923,0.8250701989278072,0.1653383224928923,0.6639368191721132,0.13398189126801544,0.5281853407573833,0.038594367309471474,0.3333333333333333,0.23570226039551587,0.4878947368421052,0.017948834636820975,0.517793427230047,0.025163706109831107,0.527681660899654,0.03793309311361612
0.5,Top60,0.8595142216968406,0.12105139593637738,0.8595142216968406,0.12105139593637738,0.6870403969668676,0.11518707484419262,0.5235876396079581,0.03004130985022376,0.3333333333333333,0.23570226039551584,0.4878947368421052,0.026774941772582952,0.5135680751173709,0.0245956074214103,0.5229757785467128,0.028723474970685395
0.5,Top70,0.9410349613480282,0.06407810693272659,0.9410349613480282,0.06407810693272659,0.7324306396445739,0.08584941484758105,0.5313340496890364,0.034512095801115396,0.4666666666666666,0.07453559924999299,0.4986315789473684,0.0118718923619972,0.5162347417840375,0.02430629379229832,0.530242214532872,0.03303601392809048
0.5,Top80,0.98820140462414,0.0019691659018084614,0.98820140462414,0.0019691659018084614,0.7737367142787022,0.03514658161074417,0.5370811761258181,0.018887560839071504,0.4666666666666667,0.074535599249993,0.4986315789473684,0.01187189236199721,0.5190516431924882,0.011047158854234351,0.5361245674740485,0.01822547551530894
0.5,Top90,0.9885150895476414,0.003364178128975548,0.9885150895476414,0.003364178128975548,0.7801235513240438,0.043299078131435374,0.5324834749763928,0.017618318290214836,0.4666666666666667,0.074535599249993,0.496,0.008944271909999166,0.5148262910798123,0.013278851196065944,0.5314186851211072,0.017379407278970332
0.6,Top10,0.9312138990464524,0.07594237286878665,0.9312138990464524,0.07594237286878665,0.797374662420178,0.06637078465021662,0.687600534010615,0.11772361449939606,0.4111111111111111,0.16005400323208818,0.6370526315789473,0.06286400923031954,0.6598497652582159,0.10290960620090397,0.686159169550173,0.1153420126740162
0.6,Top100,0.9925560085730847,0.0017187524539838768,0.9925560085730847,0.0017187524539838768,0.7997526791299726,0.03029740053106371,0.5646673830223697,0.033750532461718226,0.4666666666666666,0.07453559924999299,0.5117894736842106,0.015083332695653049,0.5444037558685446,0.0272194491275842,0.5643598615916956,0.03230711185141193
0.6,Top120,0.9928800992251565,0.0018893522709768425,0.9928800992251565,0.0018893522709768425,0.8113011050787176,0.04251531997337663,0.5813421900947543,0.025321528282662906,0.5,0.0,0.5210526315789473,0.02728479125437855,0.5634553990610328,0.028192978851380026,0.5804844290657439,0.025324134060282975
0.6,Top130,0.9941117808332471,0.001847136663954299,0.9941117808332471,0.001847136663954299,0.8111871836688163,0.0418259888405683,0.579075901142913,0.023110002513056057,0.29999999999999993,0.1825741858350554,0.5102105263157894,0.011075165000052739,0.5581220657276995,0.023513206991806094,0.5777162629757785,0.02261822081923912
0.6,Top140,0.9931664353193852,0.002612189941683455,0.9931664353193852,0.002612189941683455,0.8121346392144211,0.038525394747209014,0.5730454885871511,0.023200406504805732,0.3333333333333333,0.1666666666666667,0.5010526315789473,0.03037849873834399,0.5511549295774648,0.02194062528583425,0.572318339100346,0.021414184701405978
0.6,Top15,0.8607470349411533,0.07029065440326202,0.8607470349411533,0.07029065440326202,0.7555300609432235,0.05899412697574431,0.5854384422519618,0.09362620063627411,0.5,0.09622504486493764,0.572,0.07790309343510696,0.5676901408450704,0.08608927241437428,0.5856747404844291,0.0919584269908554
0.6,Top20,0.8280320297769024,0.016405057102166963,0.8280320297769024,0.016405057102166963,0.7274950327905484,0.023343198820979273,0.5367816091954023,0.01384091330895667,0.5444444444444445,0.024845199749997687,0.5263157894736843,0.020804458290581463,0.5211267605633803,0.011134780493550617,0.5376470588235295,0.014166581857402744
0.6,Top25,0.8368195998772947,0.011892118343569931,0.8368195998772947,0.011892118343569931,0.7301454656909813,0.04077003973485642,0.532183908045977,0.008715948786266097,0.5444444444444445,0.024845199749997687,0.5131578947368421,0.009304036594559835,0.5154929577464789,0.007714402218382605,0.5329411764705883,0.00892102993417838
0.6,Top30,0.8577258787667622,0.009114533462469258,0.8577258787667622,0.009114533462469258,0.7375599678554834,0.03490677405406552,0.5287356321839081,0.009954314986028015,0.5333333333333334,0.030429030972509256,0.5105263157894737,0.011008684559658876,0.5169014084507042,0.01178394403569118,0.5294117647058825,0.010188534162169935
0.6,Top40,0.8701832020694956,0.02305968511502159,0.8701832020694956,0.02305968511502159,0.7301176851698548,0.03277036296737232,0.5229885057471264,0.004063832075784741,0.5,0.0,0.5,0.0,0.5070422535211268,0.0,0.5235294117647059,0.0041594516540385
0.6,Top50,0.916733039506115,0.07488360222991754,0.916733039506115,0.07488360222991754,0.7478808985360093,0.06251836597505303,0.5532056917716779,0.04675062431289176,0.34444444444444444,0.22703129713002834,0.4957894736842105,0.006182810591826695,0.5299530516431925,0.03137218338818644,0.5518339100346021,0.04431592596669134
0.6,Top60,0.9357433910778351,0.052270633130908524,0.9357433910778351,0.052270633130908524,0.7605815606190243,0.06702200811369619,0.5543388362475985,0.05176182271140701,0.3333333333333333,0.23570226039551584,0.49842105263157893,0.011920791213585446,0.5340281690140845,0.043146822154466254,0.5532179930795849,0.050214396485434104
0.6,Top70,0.977867073284591,0.020236153820684884,0.977867073284591,0.020236153820684884,0.7823990999018957,0.05167984190477838,0.567282081338934,0.05014675800139828,0.25555555555555554,0.23765832929119377,0.4811578947368421,0.032321103626147867,0.543962441314554,0.04635884107177259,0.566643598615917,0.04867012948465283
0.6,Top80,0.9913339689521206,0.0021937213565633423,0.9913339689521206,0.0021937213565633423,0.7975813587148419,0.03187459929418866,0.582224610074566,0.025129838808664765,0.2444444444444444,0.23107371492317133,0.4811578947368421,0.03201107841473382,0.5580469483568076,0.022942274229813098,0.5819377162629757,0.023518468857773516
0.6,Top90,0.9918217625575247,0.0019210839052216612,0.9918217625575247,0.0019210839052216612,0.7951410000311372,0.036032463198951085,0.5672658005274982,0.017170709662385247,0.36666666666666664,0.13944333775567927,0.4945263157894736,0.02540966291647892,0.5466291079812207,0.017096145986352534,0.5668512110726643,0.015473358242990015
0.7,Top10,0.9624966735912169,0.03706715774430883,0.9624966735912169,0.03706715774430883,0.8293993734238596,0.038659700470675365,0.7416723649506691,0.08195119034849228,0.3555555555555555,0.1394433377556793,0.6842105263157895,0.029169007952461266,0.7144131455399061,0.07048532412130079,0.741522491349481,0.07913026525498171
0.7,Top100,0.9954211366586285,0.0017638991661925246,0.9954211366586285,0.0017638991661925246,0.8134957432519958,0.03220509656289001,0.5997655563153268,0.0381197154164035,0.33333333333333326,0.16666666666666669,0.5286315789473683,0.018291272156936312,0.5778403755868544,0.03435201995982414,0.6000692041522491,0.036500188246814495
0.7,Top120,0.9959521185921012,0.001714695466747523,0.9959521185921012,0.001714695466747523,0.8199931957099885,0.0353446791634582,0.6167562111295627,0.026997195275924122,0.21111111111111108,0.18592445034090566,0.5126315789473683,0.02956986187492152,0.5887417840375587,0.026059074423839278,0.6157785467128027,0.025873700976053828
0.7,Top130,0.996586571634625,0.0018008431606260358,0.996586571634625,0.0018008431606260358,0.8202151682536284,0.036644675457683094,0.6124417960991175,0.03272676084071656,0.22222222222222218,0.11785113019775795,0.5245263157894737,0.02592232163604892,0.5844413145539906,0.031367134941601926,0.6117647058823529,0.030826935049885644
0.7,Top140,0.9964427466086608,0.002339617252199631,0.9964427466086608,0.002339617252199631,0.8226751667662606,0.04098856984194165,0.6006642571065741,0.027010781277184155,0.3,0.12171612389003693,0.5141052631578947,0.035531968361227455,0.5710985915492958,0.028134380117118094,0.5996539792387543,0.025595013268332693
