threshold,topN,train_p_stat,train_p_stat_std,val_p_stat,val_p_stat_std,test_p_stat,test_p_stat_std,ext_p_stat,ext_p_stat_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
0.1,Top10,0.0,0.0,0.0,0.0,2.3003584465205888e-58,5.14375604271939e-58,1.0009165160355608e-48,2.2381173696133682e-48,0.3084504894352908,0.22662334268437914,0.0018091678649406685,0.003272725597379729,2.2226223738955066e-18,4.964757156295286e-18,1.2472854865449007e-40,2.7890151171569685e-40
0.1,Top100,0.0,0.0,0.0,0.0,2.7776786301884414e-53,6.136605253338282e-53,5.866893571893721e-37,1.3117640605212833e-36,0.0324156358330142,0.044782029823879944,0.08305856127703219,0.1194665307080587,1.3988417064817709e-14,3.054607856153722e-14,6.392327758089601e-31,1.4293529480904404e-30
0.1,Top120,0.0,0.0,0.0,0.0,4.984360135503841e-52,1.1045911983771411e-51,5.5247776184529255e-33,1.2353032796671005e-32,0.02786485537350474,0.030412371252192368,0.20274998528883179,0.38361028126935676,9.19992477352325e-12,2.0555726740065643e-11,1.3543984307733459e-27,3.028525535206824e-27
0.1,Top130,0.0,0.0,0.0,0.0,1.5584246914886955e-51,3.483618093496993e-51,1.9423690912881853e-32,4.3421520231589496e-32,0.01538230079306514,0.015050442249198595,0.18481138404806025,0.3470743746936947,6.417780628999649e-12,1.4266375496902617e-11,1.7851207817151706e-27,3.990745231301859e-27
0.1,Top140,0.0,0.0,0.0,0.0,2.177205386636206e-51,4.8669524030424734e-51,1.0661229845792845e-29,2.3457862480301768e-29,0.016017010812229202,0.015923786738063248,0.25131255861671037,0.3261463943730562,5.525257303580086e-11,7.612776501403525e-11,1.8053507995614105e-26,3.905607368447982e-26
0.1,Top15,0.0,0.0,0.0,0.0,3.2160795106838117e-63,6.939104307668129e-63,3.334191105265579e-48,7.455477961348992e-48,0.5617363018760948,0.43830389333663844,0.00032766193725602,0.0004708584259361312,3.2140109811856875e-18,7.186747034278777e-18,3.024645563770877e-40,6.763313088434855e-40
0.1,Top20,0.0,0.0,0.0,0.0,1.8008881327669494e-60,4.0226832439297304e-60,1.6879193514976696e-67,3.7683503945098416e-67,0.5800546894308702,0.2984089278851606,0.00017238316389364284,0.00021266870759089235,3.0061094802291735e-27,6.2514997822649134e-27,3.3174485388324383e-56,7.402379156138666e-56
0.1,Top25,0.0,0.0,0.0,0.0,2.919646236682708e-58,6.527919782300876e-58,2.5587662719334148e-58,5.721515778533679e-58,0.3876489517559746,0.20275842637548766,0.0017213205569366,0.00318683805459209,1.6540847743119354e-22,3.6946775710365814e-22,1.855656200406235e-48,4.149337919744949e-48
0.1,Top30,0.0,0.0,0.0,0.0,2.150808702853453e-59,4.800778268943621e-59,4.176263210942158e-59,8.940321272339255e-59,0.352785867691041,0.22859702595527884,0.00275035635376532,0.004885019059821588,3.7486034319843135e-22,8.162610657744126e-22,4.715946046275946e-49,1.0429564716620094e-48
0.1,Top40,0.0,0.0,0.0,0.0,6.651857962973638e-59,1.4353721651116338e-58,8.475627077762746e-51,1.8951109060326205e-50,0.16428067562838314,0.09494467866397682,0.01152749982764806,0.019931685697791975,1.0734831261154112e-18,2.393432306561094e-18,5.4892071235137567e-42,1.2273442341443625e-41
0.1,Top50,0.0,0.0,0.0,0.0,1.701150900790904e-55,3.7311683297395675e-55,1.7510871129319264e-42,3.744493769072115e-42,0.03971152164071055,0.04293292906648568,0.12572226276532109,0.1650990888392321,2.5113642982752156e-14,3.825711717435475e-14,8.395452581911795e-35,1.8118788248165352e-34
0.1,Top60,0.0,0.0,0.0,0.0,1.1296824946545346e-57,1.547396706743452e-57,5.670533743267203e-38,1.267969883985929e-37,0.02616810279929086,0.02065160559276772,0.11443207021285355,0.12438380230360072,4.4616040572018175e-12,9.975314271641244e-12,4.158818521953801e-31,9.299399662844292e-31
0.1,Top70,0.0,0.0,0.0,0.0,9.858804228334459e-52,2.20449563484077e-51,2.8764336468865072e-39,4.661943002366946e-39,0.01303731260708491,0.014799471323525472,0.26671263933628814,0.2433065681483471,1.4548575039117857e-12,2.7241532367599723e-12,1.4614240617599449e-32,3.2335740311821673e-32
0.1,Top80,0.0,0.0,0.0,0.0,2.4058392971604405e-51,5.379616214728804e-51,7.135271641559806e-41,1.034069967103727e-40,0.00684958380780312,0.009463306447529997,0.21818365631338485,0.2019250778314139,3.596545002047559e-13,6.423017275317327e-13,8.175531060887827e-34,1.1947693722204203e-33
0.1,Top90,0.0,0.0,0.0,0.0,4.630768238311423e-51,1.0354608578695731e-50,1.9187625948098e-36,4.270285132074723e-36,0.015000224608993815,0.01644779205673139,0.3188066768947858,0.25955264638436504,1.4678829228433484e-12,3.2134961658316026e-12,2.1616702271524315e-30,4.8333713718707486e-30
0.2,Top10,0.0,0.0,0.0,0.0,2.3003584465205888e-58,5.14375604271939e-58,1.0009165160355608e-48,2.2381173696133682e-48,0.3084504894352908,0.22662334268437914,0.0018091678649406685,0.003272725597379729,2.2226223738955066e-18,4.964757156295286e-18,1.2472854865449007e-40,2.7890151171569685e-40
0.2,Top100,0.0,0.0,0.0,0.0,2.7776786301884414e-53,6.136605253338282e-53,5.866893571893721e-37,1.3117640605212833e-36,0.0324156358330142,0.044782029823879944,0.08305856127703219,0.1194665307080587,1.3988417064817709e-14,3.054607856153722e-14,6.392327758089601e-31,1.4293529480904404e-30
0.2,Top120,0.0,0.0,0.0,0.0,4.984360135503841e-52,1.1045911983771411e-51,5.5247776184529255e-33,1.2353032796671005e-32,0.02786485537350474,0.030412371252192368,0.20274998528883179,0.38361028126935676,9.19992477352325e-12,2.0555726740065643e-11,1.3543984307733459e-27,3.028525535206824e-27
0.2,Top130,0.0,0.0,0.0,0.0,1.5584246914886955e-51,3.483618093496993e-51,1.9423690912881853e-32,4.3421520231589496e-32,0.01538230079306514,0.015050442249198595,0.18481138404806025,0.3470743746936947,6.417780628999649e-12,1.4266375496902617e-11,1.7851207817151706e-27,3.990745231301859e-27
0.2,Top140,0.0,0.0,0.0,0.0,2.177205386636206e-51,4.8669524030424734e-51,1.0661229845792845e-29,2.3457862480301768e-29,0.016017010812229202,0.015923786738063248,0.25131255861671037,0.3261463943730562,5.525257303580086e-11,7.612776501403525e-11,1.8053507995614105e-26,3.905607368447982e-26
0.2,Top15,0.0,0.0,0.0,0.0,3.2160795106838117e-63,6.939104307668129e-63,3.334191105265579e-48,7.455477961348992e-48,0.5617363018760948,0.43830389333663844,0.00032766193725602,0.0004708584259361312,3.2140109811856875e-18,7.186747034278777e-18,3.024645563770877e-40,6.763313088434855e-40
0.2,Top20,0.0,0.0,0.0,0.0,1.8008881327669494e-60,4.0226832439297304e-60,1.6879193514976696e-67,3.7683503945098416e-67,0.5800546894308702,0.2984089278851606,0.00017238316389364284,0.00021266870759089235,3.0061094802291735e-27,6.2514997822649134e-27,3.3174485388324383e-56,7.402379156138666e-56
0.2,Top25,0.0,0.0,0.0,0.0,2.919646236682708e-58,6.527919782300876e-58,2.5587662719334148e-58,5.721515778533679e-58,0.3876489517559746,0.20275842637548766,0.0017213205569366,0.00318683805459209,1.6540847743119354e-22,3.6946775710365814e-22,1.855656200406235e-48,4.149337919744949e-48
0.2,Top30,0.0,0.0,0.0,0.0,2.150808702853453e-59,4.800778268943621e-59,4.176263210942158e-59,8.940321272339255e-59,0.352785867691041,0.22859702595527884,0.00275035635376532,0.004885019059821588,3.7486034319843135e-22,8.162610657744126e-22,4.715946046275946e-49,1.0429564716620094e-48
0.2,Top40,0.0,0.0,0.0,0.0,6.651857962973638e-59,1.4353721651116338e-58,8.475627077762746e-51,1.8951109060326205e-50,0.16428067562838314,0.09494467866397682,0.01152749982764806,0.019931685697791975,1.0734831261154112e-18,2.393432306561094e-18,5.4892071235137567e-42,1.2273442341443625e-41
0.2,Top50,0.0,0.0,0.0,0.0,1.701150900790904e-55,3.7311683297395675e-55,1.7510871129319264e-42,3.744493769072115e-42,0.03971152164071055,0.04293292906648568,0.12572226276532109,0.1650990888392321,2.5113642982752156e-14,3.825711717435475e-14,8.395452581911795e-35,1.8118788248165352e-34
0.2,Top60,0.0,0.0,0.0,0.0,1.1296824946545346e-57,1.547396706743452e-57,5.670533743267203e-38,1.267969883985929e-37,0.02616810279929086,0.02065160559276772,0.11443207021285355,0.12438380230360072,4.4616040572018175e-12,9.975314271641244e-12,4.158818521953801e-31,9.299399662844292e-31
0.2,Top70,0.0,0.0,0.0,0.0,9.858804228334459e-52,2.20449563484077e-51,2.8764336468865072e-39,4.661943002366946e-39,0.01303731260708491,0.014799471323525472,0.26671263933628814,0.2433065681483471,1.4548575039117857e-12,2.7241532367599723e-12,1.4614240617599449e-32,3.2335740311821673e-32
0.2,Top80,0.0,0.0,0.0,0.0,2.4058392971604405e-51,5.379616214728804e-51,7.135271641559806e-41,1.034069967103727e-40,0.00684958380780312,0.009463306447529997,0.21818365631338485,0.2019250778314139,3.596545002047559e-13,6.423017275317327e-13,8.175531060887827e-34,1.1947693722204203e-33
0.2,Top90,0.0,0.0,0.0,0.0,4.630768238311423e-51,1.0354608578695731e-50,1.9187625948098e-36,4.270285132074723e-36,0.015000224608993815,0.01644779205673139,0.3188066768947858,0.25955264638436504,1.4678829228433484e-12,3.2134961658316026e-12,2.1616702271524315e-30,4.8333713718707486e-30
0.3,Top10,0.0,0.0,0.0,0.0,2.3003584465205888e-58,5.14375604271939e-58,1.0009165160355608e-48,2.2381173696133682e-48,0.3084504894352908,0.22662334268437914,0.0018091678649406685,0.003272725597379729,2.2226223738955066e-18,4.964757156295286e-18,1.2472854865449007e-40,2.7890151171569685e-40
0.3,Top100,0.0,0.0,0.0,0.0,2.7776786301884414e-53,6.136605253338282e-53,5.866893571893721e-37,1.3117640605212833e-36,0.0324156358330142,0.044782029823879944,0.08305856127703219,0.1194665307080587,1.3988417064817709e-14,3.054607856153722e-14,6.392327758089601e-31,1.4293529480904404e-30
0.3,Top120,0.0,0.0,0.0,0.0,4.984360135503841e-52,1.1045911983771411e-51,5.5247776184529255e-33,1.2353032796671005e-32,0.02786485537350474,0.030412371252192368,0.20274998528883179,0.38361028126935676,9.19992477352325e-12,2.0555726740065643e-11,1.3543984307733459e-27,3.028525535206824e-27
0.3,Top130,0.0,0.0,0.0,0.0,1.5584246914886955e-51,3.483618093496993e-51,1.9423690912881853e-32,4.3421520231589496e-32,0.01538230079306514,0.015050442249198595,0.18481138404806025,0.3470743746936947,6.417780628999649e-12,1.4266375496902617e-11,1.7851207817151706e-27,3.990745231301859e-27
0.3,Top140,0.0,0.0,0.0,0.0,2.177205386636206e-51,4.8669524030424734e-51,1.0661229845792845e-29,2.3457862480301768e-29,0.016017010812229202,0.015923786738063248,0.25131255861671037,0.3261463943730562,5.525257303580086e-11,7.612776501403525e-11,1.8053507995614105e-26,3.905607368447982e-26
0.3,Top15,0.0,0.0,0.0,0.0,3.2160795106838117e-63,6.939104307668129e-63,3.334191105265579e-48,7.455477961348992e-48,0.5617363018760948,0.43830389333663844,0.00032766193725602,0.0004708584259361312,3.2140109811856875e-18,7.186747034278777e-18,3.024645563770877e-40,6.763313088434855e-40
0.3,Top20,0.0,0.0,0.0,0.0,1.8008881327669494e-60,4.0226832439297304e-60,1.6879193514976696e-67,3.7683503945098416e-67,0.5800546894308702,0.2984089278851606,0.00017238316389364284,0.00021266870759089235,3.0061094802291735e-27,6.2514997822649134e-27,3.3174485388324383e-56,7.402379156138666e-56
0.3,Top25,0.0,0.0,0.0,0.0,2.919646236682708e-58,6.527919782300876e-58,2.5587662719334148e-58,5.721515778533679e-58,0.3876489517559746,0.20275842637548766,0.0017213205569366,0.00318683805459209,1.6540847743119354e-22,3.6946775710365814e-22,1.855656200406235e-48,4.149337919744949e-48
0.3,Top30,0.0,0.0,0.0,0.0,2.150808702853453e-59,4.800778268943621e-59,4.176263210942158e-59,8.940321272339255e-59,0.352785867691041,0.22859702595527884,0.00275035635376532,0.004885019059821588,3.7486034319843135e-22,8.162610657744126e-22,4.715946046275946e-49,1.0429564716620094e-48
0.3,Top40,0.0,0.0,0.0,0.0,6.651857962973638e-59,1.4353721651116338e-58,8.475627077762746e-51,1.8951109060326205e-50,0.16428067562838314,0.09494467866397682,0.01152749982764806,0.019931685697791975,1.0734831261154112e-18,2.393432306561094e-18,5.4892071235137567e-42,1.2273442341443625e-41
0.3,Top50,0.0,0.0,0.0,0.0,1.701150900790904e-55,3.7311683297395675e-55,1.7510871129319264e-42,3.744493769072115e-42,0.03971152164071055,0.04293292906648568,0.12572226276532109,0.1650990888392321,2.5113642982752156e-14,3.825711717435475e-14,8.395452581911795e-35,1.8118788248165352e-34
0.3,Top60,0.0,0.0,0.0,0.0,1.1296824946545346e-57,1.547396706743452e-57,5.670533743267203e-38,1.267969883985929e-37,0.02616810279929086,0.02065160559276772,0.11443207021285355,0.12438380230360072,4.4616040572018175e-12,9.975314271641244e-12,4.158818521953801e-31,9.299399662844292e-31
0.3,Top70,0.0,0.0,0.0,0.0,9.858804228334459e-52,2.20449563484077e-51,2.8764336468865072e-39,4.661943002366946e-39,0.01303731260708491,0.014799471323525472,0.26671263933628814,0.2433065681483471,1.4548575039117857e-12,2.7241532367599723e-12,1.4614240617599449e-32,3.2335740311821673e-32
0.3,Top80,0.0,0.0,0.0,0.0,2.4058392971604405e-51,5.379616214728804e-51,7.135271641559806e-41,1.034069967103727e-40,0.00684958380780312,0.009463306447529997,0.21818365631338485,0.2019250778314139,3.596545002047559e-13,6.423017275317327e-13,8.175531060887827e-34,1.1947693722204203e-33
0.3,Top90,0.0,0.0,0.0,0.0,4.630768238311423e-51,1.0354608578695731e-50,1.9187625948098e-36,4.270285132074723e-36,0.015000224608993815,0.01644779205673139,0.3188066768947858,0.25955264638436504,1.4678829228433484e-12,3.2134961658316026e-12,2.1616702271524315e-30,4.8333713718707486e-30
0.4,Top10,0.0,0.0,0.0,0.0,2.3003584465205888e-58,5.14375604271939e-58,1.0009165160355608e-48,2.2381173696133682e-48,0.3084504894352908,0.22662334268437914,0.0018091678649406685,0.003272725597379729,2.2226223738955066e-18,4.964757156295286e-18,1.2472854865449007e-40,2.7890151171569685e-40
0.4,Top100,0.0,0.0,0.0,0.0,2.7776786301884414e-53,6.136605253338282e-53,5.866893571893721e-37,1.3117640605212833e-36,0.0324156358330142,0.044782029823879944,0.08305856127703219,0.1194665307080587,1.3988417064817709e-14,3.054607856153722e-14,6.392327758089601e-31,1.4293529480904404e-30
0.4,Top120,0.0,0.0,0.0,0.0,4.984360135503841e-52,1.1045911983771411e-51,5.5247776184529255e-33,1.2353032796671005e-32,0.02786485537350474,0.030412371252192368,0.20274998528883179,0.38361028126935676,9.19992477352325e-12,2.0555726740065643e-11,1.3543984307733459e-27,3.028525535206824e-27
0.4,Top130,0.0,0.0,0.0,0.0,1.5584246914886955e-51,3.483618093496993e-51,1.9423690912881853e-32,4.3421520231589496e-32,0.01538230079306514,0.015050442249198595,0.18481138404806025,0.3470743746936947,6.417780628999649e-12,1.4266375496902617e-11,1.7851207817151706e-27,3.990745231301859e-27
0.4,Top140,0.0,0.0,0.0,0.0,2.177205386636206e-51,4.8669524030424734e-51,1.0661229845792845e-29,2.3457862480301768e-29,0.016017010812229202,0.015923786738063248,0.25131255861671037,0.3261463943730562,5.525257303580086e-11,7.612776501403525e-11,1.8053507995614105e-26,3.905607368447982e-26
0.4,Top15,0.0,0.0,0.0,0.0,3.2160795106838117e-63,6.939104307668129e-63,3.334191105265579e-48,7.455477961348992e-48,0.5617363018760948,0.43830389333663844,0.00032766193725602,0.0004708584259361312,3.2140109811856875e-18,7.186747034278777e-18,3.024645563770877e-40,6.763313088434855e-40
0.4,Top20,0.0,0.0,0.0,0.0,1.8008881327669494e-60,4.0226832439297304e-60,1.6879193514976696e-67,3.7683503945098416e-67,0.5800546894308702,0.2984089278851606,0.00017238316389364284,0.00021266870759089235,3.0061094802291735e-27,6.2514997822649134e-27,3.3174485388324383e-56,7.402379156138666e-56
0.4,Top25,0.0,0.0,0.0,0.0,2.919646236682708e-58,6.527919782300876e-58,2.5587662719334148e-58,5.721515778533679e-58,0.3876489517559746,0.20275842637548766,0.0017213205569366,0.00318683805459209,1.6540847743119354e-22,3.6946775710365814e-22,1.855656200406235e-48,4.149337919744949e-48
0.4,Top30,0.0,0.0,0.0,0.0,2.150808702853453e-59,4.800778268943621e-59,4.176263210942158e-59,8.940321272339255e-59,0.352785867691041,0.22859702595527884,0.00275035635376532,0.004885019059821588,3.7486034319843135e-22,8.162610657744126e-22,4.715946046275946e-49,1.0429564716620094e-48
0.4,Top40,0.0,0.0,0.0,0.0,6.651857962973638e-59,1.4353721651116338e-58,8.475627077762746e-51,1.8951109060326205e-50,0.16428067562838314,0.09494467866397682,0.01152749982764806,0.019931685697791975,1.0734831261154112e-18,2.393432306561094e-18,5.4892071235137567e-42,1.2273442341443625e-41
0.4,Top50,0.0,0.0,0.0,0.0,1.701150900790904e-55,3.7311683297395675e-55,1.7510871129319264e-42,3.744493769072115e-42,0.03971152164071055,0.04293292906648568,0.12572226276532109,0.1650990888392321,2.5113642982752156e-14,3.825711717435475e-14,8.395452581911795e-35,1.8118788248165352e-34
0.4,Top60,0.0,0.0,0.0,0.0,1.1296824946545346e-57,1.547396706743452e-57,5.670533743267203e-38,1.267969883985929e-37,0.02616810279929086,0.02065160559276772,0.11443207021285355,0.12438380230360072,4.4616040572018175e-12,9.975314271641244e-12,4.158818521953801e-31,9.299399662844292e-31
0.4,Top70,0.0,0.0,0.0,0.0,9.858804228334459e-52,2.20449563484077e-51,2.8764336468865072e-39,4.661943002366946e-39,0.01303731260708491,0.014799471323525472,0.26671263933628814,0.2433065681483471,1.4548575039117857e-12,2.7241532367599723e-12,1.4614240617599449e-32,3.2335740311821673e-32
0.4,Top80,0.0,0.0,0.0,0.0,2.4058392971604405e-51,5.379616214728804e-51,7.135271641559806e-41,1.034069967103727e-40,0.00684958380780312,0.009463306447529997,0.21818365631338485,0.2019250778314139,3.596545002047559e-13,6.423017275317327e-13,8.175531060887827e-34,1.1947693722204203e-33
0.4,Top90,0.0,0.0,0.0,0.0,4.630768238311423e-51,1.0354608578695731e-50,1.9187625948098e-36,4.270285132074723e-36,0.015000224608993815,0.01644779205673139,0.3188066768947858,0.25955264638436504,1.4678829228433484e-12,3.2134961658316026e-12,2.1616702271524315e-30,4.8333713718707486e-30
0.5,Top10,0.0,0.0,0.0,0.0,2.3003584465205888e-58,5.14375604271939e-58,1.0009165160355608e-48,2.2381173696133682e-48,0.3084504894352908,0.22662334268437914,0.0018091678649406685,0.003272725597379729,2.2226223738955066e-18,4.964757156295286e-18,1.2472854865449007e-40,2.7890151171569685e-40
0.5,Top100,0.0,0.0,0.0,0.0,2.7776786301884414e-53,6.136605253338282e-53,5.866893571893721e-37,1.3117640605212833e-36,0.0324156358330142,0.044782029823879944,0.08305856127703219,0.1194665307080587,1.3988417064817709e-14,3.054607856153722e-14,6.392327758089601e-31,1.4293529480904404e-30
0.5,Top120,0.0,0.0,0.0,0.0,4.984360135503841e-52,1.1045911983771411e-51,5.5247776184529255e-33,1.2353032796671005e-32,0.02786485537350474,0.030412371252192368,0.20274998528883179,0.38361028126935676,9.19992477352325e-12,2.0555726740065643e-11,1.3543984307733459e-27,3.028525535206824e-27
0.5,Top130,0.0,0.0,0.0,0.0,1.5584246914886955e-51,3.483618093496993e-51,1.9423690912881853e-32,4.3421520231589496e-32,0.01538230079306514,0.015050442249198595,0.18481138404806025,0.3470743746936947,6.417780628999649e-12,1.4266375496902617e-11,1.7851207817151706e-27,3.990745231301859e-27
0.5,Top140,0.0,0.0,0.0,0.0,2.177205386636206e-51,4.8669524030424734e-51,1.0661229845792845e-29,2.3457862480301768e-29,0.016017010812229202,0.015923786738063248,0.25131255861671037,0.3261463943730562,5.525257303580086e-11,7.612776501403525e-11,1.8053507995614105e-26,3.905607368447982e-26
0.5,Top15,0.0,0.0,0.0,0.0,3.2160795106838117e-63,6.939104307668129e-63,3.334191105265579e-48,7.455477961348992e-48,0.5617363018760948,0.43830389333663844,0.00032766193725602,0.0004708584259361312,3.2140109811856875e-18,7.186747034278777e-18,3.024645563770877e-40,6.763313088434855e-40
0.5,Top20,0.0,0.0,0.0,0.0,1.8008881327669494e-60,4.0226832439297304e-60,1.6879193514976696e-67,3.7683503945098416e-67,0.5800546894308702,0.2984089278851606,0.00017238316389364284,0.00021266870759089235,3.0061094802291735e-27,6.2514997822649134e-27,3.3174485388324383e-56,7.402379156138666e-56
0.5,Top25,0.0,0.0,0.0,0.0,2.919646236682708e-58,6.527919782300876e-58,2.5587662719334148e-58,5.721515778533679e-58,0.3876489517559746,0.20275842637548766,0.0017213205569366,0.00318683805459209,1.6540847743119354e-22,3.6946775710365814e-22,1.855656200406235e-48,4.149337919744949e-48
0.5,Top30,0.0,0.0,0.0,0.0,2.150808702853453e-59,4.800778268943621e-59,4.176263210942158e-59,8.940321272339255e-59,0.352785867691041,0.22859702595527884,0.00275035635376532,0.004885019059821588,3.7486034319843135e-22,8.162610657744126e-22,4.715946046275946e-49,1.0429564716620094e-48
0.5,Top40,0.0,0.0,0.0,0.0,6.651857962973638e-59,1.4353721651116338e-58,8.475627077762746e-51,1.8951109060326205e-50,0.16428067562838314,0.09494467866397682,0.01152749982764806,0.019931685697791975,1.0734831261154112e-18,2.393432306561094e-18,5.4892071235137567e-42,1.2273442341443625e-41
0.5,Top50,0.0,0.0,0.0,0.0,1.701150900790904e-55,3.7311683297395675e-55,1.7510871129319264e-42,3.744493769072115e-42,0.03971152164071055,0.04293292906648568,0.12572226276532109,0.1650990888392321,2.5113642982752156e-14,3.825711717435475e-14,8.395452581911795e-35,1.8118788248165352e-34
0.5,Top60,0.0,0.0,0.0,0.0,1.1296824946545346e-57,1.547396706743452e-57,5.670533743267203e-38,1.267969883985929e-37,0.02616810279929086,0.02065160559276772,0.11443207021285355,0.12438380230360072,4.4616040572018175e-12,9.975314271641244e-12,4.158818521953801e-31,9.299399662844292e-31
0.5,Top70,0.0,0.0,0.0,0.0,9.858804228334459e-52,2.20449563484077e-51,2.8764336468865072e-39,4.661943002366946e-39,0.01303731260708491,0.014799471323525472,0.26671263933628814,0.2433065681483471,1.4548575039117857e-12,2.7241532367599723e-12,1.4614240617599449e-32,3.2335740311821673e-32
0.5,Top80,0.0,0.0,0.0,0.0,2.4058392971604405e-51,5.379616214728804e-51,7.135271641559806e-41,1.034069967103727e-40,0.00684958380780312,0.009463306447529997,0.21818365631338485,0.2019250778314139,3.596545002047559e-13,6.423017275317327e-13,8.175531060887827e-34,1.1947693722204203e-33
0.5,Top90,0.0,0.0,0.0,0.0,4.630768238311423e-51,1.0354608578695731e-50,1.9187625948098e-36,4.270285132074723e-36,0.015000224608993815,0.01644779205673139,0.3188066768947858,0.25955264638436504,1.4678829228433484e-12,3.2134961658316026e-12,2.1616702271524315e-30,4.8333713718707486e-30
0.6,Top10,0.0,0.0,0.0,0.0,2.3003584465205888e-58,5.14375604271939e-58,1.0009165160355608e-48,2.2381173696133682e-48,0.3084504894352908,0.22662334268437914,0.0018091678649406685,0.003272725597379729,2.2226223738955066e-18,4.964757156295286e-18,1.2472854865449007e-40,2.7890151171569685e-40
0.6,Top100,0.0,0.0,0.0,0.0,2.7776786301884414e-53,6.136605253338282e-53,5.866893571893721e-37,1.3117640605212833e-36,0.0324156358330142,0.044782029823879944,0.08305856127703219,0.1194665307080587,1.3988417064817709e-14,3.054607856153722e-14,6.392327758089601e-31,1.4293529480904404e-30
0.6,Top120,0.0,0.0,0.0,0.0,4.984360135503841e-52,1.1045911983771411e-51,5.5247776184529255e-33,1.2353032796671005e-32,0.02786485537350474,0.030412371252192368,0.20274998528883179,0.38361028126935676,9.19992477352325e-12,2.0555726740065643e-11,1.3543984307733459e-27,3.028525535206824e-27
0.6,Top130,0.0,0.0,0.0,0.0,1.5584246914886955e-51,3.483618093496993e-51,1.9423690912881853e-32,4.3421520231589496e-32,0.01538230079306514,0.015050442249198595,0.18481138404806025,0.3470743746936947,6.417780628999649e-12,1.4266375496902617e-11,1.7851207817151706e-27,3.990745231301859e-27
0.6,Top140,0.0,0.0,0.0,0.0,2.177205386636206e-51,4.8669524030424734e-51,1.0661229845792845e-29,2.3457862480301768e-29,0.016017010812229202,0.015923786738063248,0.25131255861671037,0.3261463943730562,5.525257303580086e-11,7.612776501403525e-11,1.8053507995614105e-26,3.905607368447982e-26
0.6,Top15,0.0,0.0,0.0,0.0,3.2160795106838117e-63,6.939104307668129e-63,3.334191105265579e-48,7.455477961348992e-48,0.5617363018760948,0.43830389333663844,0.00032766193725602,0.0004708584259361312,3.2140109811856875e-18,7.186747034278777e-18,3.024645563770877e-40,6.763313088434855e-40
0.6,Top20,0.0,0.0,0.0,0.0,1.8008881327669494e-60,4.0226832439297304e-60,1.6879193514976696e-67,3.7683503945098416e-67,0.5800546894308702,0.2984089278851606,0.00017238316389364284,0.00021266870759089235,3.0061094802291735e-27,6.2514997822649134e-27,3.3174485388324383e-56,7.402379156138666e-56
