model,feat,train_p_stat,train_p_stat_std,val_p_stat,val_p_stat_std,test_p_stat,test_p_stat_std,ext_p_stat,ext_p_stat_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
DMPNN,,0.0,0.0,0.0,0.0,1.9929912534966787e-52,4.391250808810143e-52,8.307468106279025e-35,1.8575964776616792e-34,0.1340462901110459,0.08122565754648442,0.00281277990795866,0.004901343947626635,9.7446633303606e-12,2.138028497412069e-11,3.4327863169021346e-28,7.6752669163767325e-28
DMPNN,AtomPairFP,0.0,0.0,0.0,0.0,5.136333522966567e-52,1.0828341836562967e-51,1.4170553312738875e-39,2.987414115334303e-39,0.3382577258499231,0.08836509866263857,0.0038424166727402597,0.008028213775104426,3.8209701705588095e-13,8.05522996160842e-13,1.182888818283963e-32,2.4937477353978394e-32
DMPNN,Autocorr,0.0,0.0,0.0,0.0,2.6716236982984444e-43,5.632277235018558e-43,1.2439592994197092e-18,2.622483485613543e-18,0.6933793811424314,0.046134584284476705,0.4484083823775002,0.32637063281818024,2.401456757676031e-05,3.09755545465971e-05,3.9724573194099584e-15,8.372579303977916e-15
DMPNN,AvalonFP,0.0,0.0,0.0,0.0,3.3036514770770775e-50,6.964708836336472e-50,2.043261205021591e-08,4.219033192072879e-08,0.3053322017946011,0.14609521448444757,0.02739441898005408,0.012406823662722905,0.44156375744539106,0.3387477419442473,2.390520377950336e-06,4.786441348025201e-06
DMPNN,Charge,0.0,0.0,0.0,0.0,1.0317113542029336e-59,2.1297783104533305e-59,2.3053234617304616e-31,4.860048391306982e-31,0.5291105982350729,0.2896215032420661,0.060256571239029444,0.08750343287071341,5.491684051756731e-08,1.1501905244481122e-07,1.0940347210655047e-24,2.3064270964684395e-24
DMPNN,Connectivity,0.0,0.0,0.0,0.0,2.540156593510639e-54,5.355119582027971e-54,1.968653255060949e-44,4.150285465309802e-44,0.5905137290395177,0.3378176477410759,0.17984244799061505,0.37680630171416135,7.173033765434911e-14,1.5121984461900839e-13,3.285096752589923e-36,6.925591667222326e-36
DMPNN,Constitution,0.0,0.0,0.0,0.0,8.59982478056311e-62,1.8032716066930815e-61,3.101544547254117e-22,6.538535784930777e-22,0.26680385435974246,0.26641401554071475,0.34960132566951957,0.27231821247132465,5.23114620492085e-05,8.411289254407199e-05,1.4877118020031206e-17,3.135795300966829e-17
DMPNN,Estate,0.0,0.0,0.0,0.0,6.901659824186773e-58,1.453997624713154e-57,2.1886665104783674e-30,4.613325802309197e-30,0.4369929155151753,0.3185764101753475,0.11575448822619627,0.1219979222490002,1.1261367678606809e-07,2.2422045884338978e-07,2.579698954826742e-24,5.425032399517402e-24
DMPNN,EstateFP,0.0,0.0,0.0,0.0,7.1195449530887e-52,1.500931863713767e-51,6.3086304931079e-22,1.32996769952694e-21,0.16044119507541404,0.1067328239787976,0.24865551431938346,0.16956177999920996,1.452223293639206e-06,2.110045161506832e-06,1.7634005835752033e-17,3.7166678457857205e-17
DMPNN,Fragment,0.0,0.0,0.0,0.0,7.420434935828478e-52,1.564345176839866e-51,8.926206109158063e-14,1.8808503499996933e-13,0.4826465692085729,0.16121044389475975,0.10084566096513452,0.10013054572081705,0.004234338729607319,0.007405704381833668,6.653600472663073e-11,1.390825049506892e-10
DMPNN,InfoContent,0.0,0.0,0.0,0.0,2.865015570987782e-56,6.0399814860216815e-56,7.328879461174093e-49,1.5450634529393122e-48,0.22886394211297648,0.31491136434693917,0.00904785310870919,0.019019519751919976,1.4989425939201123e-18,3.159214909593419e-18,7.289598954577984e-41,1.536782394199643e-40
DMPNN,Kappa,0.0,0.0,0.0,0.0,1.4836320377497388e-51,3.1277698906664414e-51,1.3289380662043207e-51,2.7909876097643317e-51,0.772244174900403,0.15077851049107413,0.0003526582665576718,0.0002495212446236275,1.0396638826198409e-19,1.8322915426672955e-19,1.0654762900130773e-42,2.19522504473649e-42
DMPNN,MACCSFP,0.0,0.0,0.0,0.0,6.793978969175348e-48,1.4322812650520465e-47,4.2116503599867015e-11,8.878938563883922e-11,0.054233009289046695,0.046588110793112224,0.46718287928428637,0.43786648574976095,0.11091796229284223,0.23364889515393242,7.907641366223466e-08,1.6670771757947162e-07
DMPNN,MAP4,0.0,0.0,0.0,0.0,3.357507824194951e-53,7.047292236205683e-53,7.32305680355258e-29,1.5406255490087746e-28,0.16827645809308922,0.0631020699863846,0.02940010535814532,0.03662115745178266,2.1926770679178773e-07,4.2262444560998266e-07,9.902044820102067e-23,2.0862503619992795e-22
DMPNN,MHFP6,0.0,0.0,0.0,0.0,1.3196924977290702e-45,2.7821557234042417e-45,3.247420036243795e-15,6.846161318947536e-15,0.12379126587218861,0.0882405496158456,0.05778021701762846,0.03762921823330081,0.0012515555090459776,0.0022423949478973366,2.4743469309408222e-11,5.2163281359657e-11
DMPNN,MOE,0.0,0.0,0.0,0.0,1.6522148650069625e-63,3.378532592437413e-63,5.924466984551144e-31,1.2430876414974043e-30,0.05471727317601972,0.020012878388875277,0.5011229740807638,0.33469749383004865,1.1814623278141664e-07,2.379690185486532e-07,4.116754367807831e-25,8.50528955956196e-25
DMPNN,Matrix,0.0,0.0,0.0,0.0,7.098741165640971e-55,1.4962914830875403e-54,6.0871653070415e-36,1.283287124280622e-35,0.5721898495028946,0.28356264259975195,0.1665233619009254,0.34892543115089336,1.3198805899271019e-10,2.7825525886424215e-10,1.9465756017336821e-28,4.103741692794119e-28
DMPNN,MorganFP,0.0,0.0,0.0,0.0,1.1473367795262332e-43,2.418798269651154e-43,3.908649169255415e-20,5.626451512554611e-20,0.3436385827373817,0.16507634071785215,0.576869244612389,0.17175994371539338,2.0661419926581427e-05,3.028663560191697e-05,1.1268209912498186e-15,1.8603777343355993e-15
DMPNN,Path,0.0,0.0,0.0,0.0,2.6097330579511556e-51,5.501800363922804e-51,4.875633617311408e-33,1.0278738178086481e-32,0.3500347736758818,0.15327069045728675,0.19832109033545225,0.4144827696564415,5.10820859152687e-10,1.076896781213246e-09,6.157943639525787e-27,1.2982085059890077e-26
DMPNN,PharmacoErGFP,0.0,0.0,0.0,0.0,2.088636282154607e-55,4.403229862088455e-55,2.4524964747004634e-36,4.600987756041808e-36,0.5627448720817039,0.28493161120070887,8.942665442860432e-06,1.580040529938065e-05,1.8090815799469233e-11,2.623434079752202e-11,1.4090157178375056e-29,2.8181328526945256e-29
DMPNN,PharmacoPFP,0.0,0.0,0.0,0.0,4.791673586359086e-51,1.0101734891269303e-50,1.208027924591695e-16,2.4213115018760625e-16,0.00285742646379976,0.0017661866442084991,0.2577141758372075,0.280804215734491,0.004981608821755269,0.007721481288551927,6.324741044171386e-13,1.2804613235380943e-12
DMPNN,Property,0.0,0.0,0.0,0.0,4.0104389729495087e-60,6.060184541348481e-60,7.008339744627417e-49,1.4774023764111967e-48,0.617145710691013,0.3227404671125695,0.024234345471097714,0.050917843440971056,9.315599110233136e-16,1.9419757446139725e-15,2.946623713161757e-39,6.211834860916271e-39
DMPNN,PubChemFP,0.0,0.0,0.0,0.0,1.058053354924084e-38,2.2305723250284236e-38,1.6780871123546598e-06,3.4858649254831494e-06,0.07949999375175648,0.018734791351732328,0.19677309985812017,0.2410480754882484,0.40759459342167653,0.3231866014674368,0.0002053801837796861,0.0004190010732857791
DMPNN,RDkitFP,0.0,0.0,0.0,0.0,8.019728940010666e-52,1.690706922845317e-51,4.779179205460604e-15,9.958091512830437e-15,0.00173766367209988,0.0007002831457379905,0.06464717543980285,0.047336639325698385,0.016772332272732192,0.02883225183653121,3.6555368131577916e-11,7.576089908131182e-11
DMPNN,Topology,0.0,0.0,0.0,0.0,2.793503145869824e-53,5.8889892560563215e-53,1.0558041966044506e-61,1.8945749853895635e-61,0.5337793092682552,0.3075481131669992,8.652542272876084e-05,9.253413398634157e-05,6.481732153482373e-24,7.91217672967368e-24,7.00576276091112e-51,1.2912735969242154e-50
DMPNN,TorsionFP,0.0,0.0,0.0,0.0,6.059389320027198e-41,1.2774314320653748e-40,0.002483488509094118,0.00332402560553444,0.015327845329996611,0.02621552909168611,0.06270114607186925,0.07419262725709402,0.21109763724218392,0.2820144350726144,0.030162026483243665,0.038785485045459304
fcnn,AtomPairFP,0.0,0.0,0.0,0.0,8.717249971744514e-58,1.9492363392379486e-57,3.1454406055459745e-63,6.878487832060379e-63,0.6134415456060178,0.20351364346969048,9.677278000490908e-06,1.8340241099901813e-05,5.779210012858791e-24,1.2918868143288418e-23,4.0360498891598045e-52,8.999046856177555e-52
fcnn,Autocorr,0.0,0.0,0.0,0.0,5.238148298990348e-43,1.1204206052862605e-42,1.6294605934259365e-05,3.643584653557541e-05,0.6268696201346211,0.3030893086261629,0.3678453580156786,0.2641915603244713,0.1099726043384989,0.24586705023333771,0.0007309997200334935,0.0016345650655281688
fcnn,AvalonFP,0.0,0.0,0.0,0.0,3.74272676736228e-49,8.368991473029272e-49,1.7197152521650106e-06,2.9089836711231075e-06,0.48072883469993616,0.19306971945461457,0.0031314028580609796,0.002474882664858111,0.39071301509416595,0.24297359603374255,0.0001178891621432505,0.00018857189971518816
fcnn,Charge,4.764167521521542e-133,1.065300243431886e-132,4.764167521521542e-133,1.065300243431886e-132,1.3545574436080357e-16,3.028882521561032e-16,3.493020640624995e-11,3.665508621419768e-11,0.02077120432989456,0.024986625659395186,0.10693753539982598,0.04079340233228621,0.09075257473442032,0.05676190657824295,4.465988281207248e-08,4.114933786583573e-08
fcnn,Connectivity,4.560472621463647e-175,0.0,4.560472621463647e-175,0.0,1.5163983122728842e-17,3.3907697072081195e-17,1.1503794140315719e-20,2.5723265696909684e-20,0.21253773467418718,0.1428472591355303,0.15727377694797617,0.17036692170008452,0.001268034949884919,0.002835411125043819,1.0134839815022504e-15,2.2662190767459848e-15
fcnn,Constitution,0.0,0.0,0.0,0.0,1.222211155642905e-39,1.808500326240347e-39,1.9681532489032414e-13,4.311714177362432e-13,0.22300225532313064,0.02567603020273948,0.15144495682044976,0.09625393764297413,0.11624621955378833,0.1072240719293095,8.455913910693871e-10,1.835564390315968e-09
fcnn,Estate,0.0,0.0,0.0,0.0,7.940290053338945e-35,1.7754970692716769e-34,1.9977444291566064e-18,4.239583233841399e-18,0.10998856177083767,0.039110875283267114,0.5801116861485324,0.15877337917107823,0.0013313833874767954,0.0013025767600461265,3.569183769463234e-14,7.244782898576128e-14
fcnn,EstateFP,3.8684273576788416e-208,0.0,3.8684273576788416e-208,0.0,1.723617327354863e-19,3.852947265078165e-19,1.3244984909306084e-06,2.6570621430041957e-06,0.36386715073177867,0.07969822453905816,0.0006504500301183874,0.0007671560806759619,0.6993362062429689,0.19880793664010757,0.00020373484583065087,0.00036868165990904266
fcnn,Fragment,0.0,0.0,0.0,0.0,1.2726744898850639e-27,2.8234850358685802e-27,0.009111362620004278,0.014420149399160632,0.8786443210840862,0.07342558325551804,9.856415057181046e-05,0.00010796693954581127,0.05656915812017922,0.06428106412053869,0.06785536456426734,0.08302004990047979
fcnn,InfoContent,9.331437345966212e-196,0.0,9.331437345966212e-196,0.0,3.999024364810126e-23,5.05649660471977e-23,1.684440309236435e-14,3.716532224727841e-14,0.3628946594849289,0.09264447154042844,0.14744201183074818,0.1202890753578522,0.0690764167453397,0.05596042542076473,4.017265754762897e-11,8.598327395697995e-11
fcnn,Kappa,4.646354159147067e-115,1.038336497913804e-114,4.646354159147067e-115,1.038336497913804e-114,2.971740342954285e-16,5.075526670265448e-16,1.1155958159817147e-10,1.1973275844600936e-10,0.03943630452556536,0.010585164922380543,0.0051261749004238594,0.004357104759215676,0.4813815234194762,0.39636107162968,1.5068980387473906e-07,1.5315873441102392e-07
fcnn,MACCSFP,0.0,0.0,0.0,0.0,1.0478497598926423e-32,2.342807245587736e-32,2.6156785520921176e-17,3.5547996467361634e-17,0.6496452580583034,0.18317726515141666,0.055004881681501416,0.041506651644088545,0.01182478203203382,0.01071617274539754,3.3890814286786115e-12,4.654178205873182e-12
fcnn,MAP4,0.0,0.0,0.0,0.0,8.73615952669315e-58,1.5290638207646684e-57,8.195375872361985e-30,1.8325389410811932e-29,0.27542810129602147,0.24589382175822877,0.011941573734077372,0.022236879290429515,9.53931457816711e-07,2.1236752134890928e-06,3.743617625324149e-23,8.37078370683493e-23
fcnn,MHFP6,8.541666644085893e-160,1.9099745718881342e-159,8.541666644085893e-160,1.9099745718881342e-159,8.67299589845309e-18,1.9393334621996898e-17,0.00017936786943911263,0.0004010787490441214,0.17704900999164697,0.22848280315126762,0.6060763535161752,0.40736655520447934,0.06883893788909515,0.11824486162775548,0.0028546378937055294,0.006383164371640421
fcnn,MOE,0.0,0.0,0.0,0.0,1.232783264430344e-46,2.651584456845069e-46,6.612724595900607e-21,1.473873754190486e-20,0.10433481675832519,0.040040984102858376,0.4745019225668362,0.44144570677401573,0.0010200048778915096,0.0018095084181626666,3.012352358269987e-16,6.693702197987374e-16
fcnn,Matrix,7.5143224720693e-124,1.680253585240122e-123,7.5143224720693e-124,1.680253585240122e-123,3.078258230275551e-20,5.0499751152141336e-20,4.068719795681697e-06,9.096030117439696e-06,0.11238797791104724,0.02674575442789264,0.09728623871002162,0.07780729957096698,0.4552264941105218,0.3860982449819685,0.00020789521091020997,0.00046376774774717973
fcnn,MorganFP,0.0,0.0,0.0,0.0,1.7912414720091504e-49,4.005337684337978e-49,2.1228972690119458e-17,4.684342984643955e-17,0.4110061961040784,0.14657395772390475,0.5190789886481899,0.20238425028113355,0.0003477586690698915,0.0006858785365003279,1.774653587551626e-13,3.8915576202044275e-13
fcnn,Path,1.2251481428016758e-87,1.8371711394518515e-87,1.2251481428016758e-87,1.8371711394518515e-87,1.925087151830919e-09,4.274497952473747e-09,5.958763746353953e-13,1.2767759260039196e-12,0.042900697551614096,0.019916937992773158,0.32495268350816303,0.1318909507869442,0.33611260153723094,0.4097685282816342,3.0092056376415242e-09,6.306797034941486e-09
fcnn,PharmacoErGFP,0.0,0.0,0.0,0.0,1.24926619712604e-41,2.793438635505691e-41,1.3134863751149703e-32,2.9306525486225984e-32,0.12539578770995594,0.11335717819945505,0.005869498001715821,0.00762393284270377,3.2211172765390974e-09,6.924143301317998e-09,1.305529096053343e-26,2.908308954121519e-26
fcnn,PharmacoPFP,0.0,0.0,0.0,0.0,1.1246269100800808e-41,2.5147400029188527e-41,5.027515404306769e-12,1.1241865589692306e-11,0.0009505250729016399,0.00030349378655380175,0.5565409091970321,0.3330061986454187,0.08327098152101105,0.18374174120887551,1.1215743211879632e-08,2.5079147540346682e-08
fcnn,Property,2.7845010085389123e-209,0.0,2.7845010085389123e-209,0.0,5.334512043899698e-24,7.52014839811355e-24,1.9176030939538317e-13,3.113590146474714e-13,0.07556768891841495,0.011996860531299211,0.0038955199778100006,0.0017747866689935272,0.2727833416866373,0.12749354418904332,3.101274841611371e-10,4.788698405222085e-10
fcnn,PubChemFP,0.0,0.0,0.0,0.0,1.536508948860249e-42,3.435577787432403e-42,5.5908694066923494e-08,1.1688363042567934e-07,0.09477336132143899,0.022204181735113602,0.0033701643093829803,0.004062203965900865,0.39634061678868593,0.2543296428711376,3.267634214159194e-05,6.221155997586962e-05
fcnn,RDkitFP,0.0,0.0,0.0,0.0,1.9778180206628124e-48,4.317753360457687e-48,7.661607001216452e-18,1.713003385767209e-17,0.07071238335343819,0.07193585354981424,0.25701751987118093,0.33457503027140256,0.006697805398134854,0.011418077814794779,3.6182711565871673e-13,8.079194896080171e-13
fcnn,Topology,2.0534342306650152e-119,4.2247199146820395e-119,2.0534342306650152e-119,4.2247199146820395e-119,7.800828181740566e-16,1.1521845890798173e-15,2.0260983455981837e-12,4.5295462994929844e-12,0.07862352074054924,0.0374866782372737,0.4896335332445874,0.363104950235261,0.41497804286031226,0.24662128882364073,4.692862522493952e-09,1.0477222918121836e-08
fcnn,TorsionFP,0.0,0.0,0.0,0.0,2.509649343494542e-50,5.611570947628224e-50,1.3564092740154092e-09,2.840862030341036e-09,0.14594258514906316,0.10500729603419462,0.510111595412886,0.2893001050070094,0.14046379882617863,0.18212644240813664,3.83316148864416e-07,7.11326278025152e-07
log,AtomPairFP,0.0,0.0,0.0,0.0,6.968491412660854e-49,1.5582020170784866e-48,8.865811902349546e-38,1.9824553607987246e-37,0.5161241412772047,0.32383330678596284,0.00039892274004844767,0.0008292093680948056,3.26961228154438e-14,7.276231584061959e-14,2.931132683513058e-31,6.554014095280504e-31
log,Autocorr,0.0,0.0,0.0,0.0,7.823491033771468e-36,1.7443882937122066e-35,4.3547056954131445e-17,9.732787954519841e-17,0.44777430584159267,0.2883857697217644,0.1445085786431914,0.15339812565883143,0.0016921487518395193,0.0037229826229745766,5.634024767447779e-13,1.2584083596237956e-12
log,AvalonFP,0.0,0.0,0.0,0.0,1.0389335923756836e-45,1.5792951545019927e-45,0.000293492774341469,0.0006457223541769189,0.7055940842905264,0.10124924457027196,0.00154828839961242,0.0012905972574198297,0.2220426230579864,0.13744644228031636,0.008694995520542393,0.018062608498980108
log,Charge,4.26885180718301e-153,9.545442818277074e-153,4.26885180718301e-153,9.545442818277074e-153,4.857631919773128e-19,6.624911374045775e-19,5.057427560317294e-16,5.78247259131351e-16,0.007695724157534859,0.0012211023742914181,0.23679957630373752,0.05887104420375398,0.0018661166995693798,0.0009538300486978048,3.886401277019951e-12,4.116411241655731e-12
log,Connectivity,6.433088896551417e-198,0.0,6.433088896551417e-198,0.0,2.6184553487951612e-21,5.852778271619894e-21,2.703922649025381e-15,4.565823123349836e-15,0.05709914027083596,0.018013985575257536,0.37498404250800305,0.16761181678624326,0.24259547915677587,0.12553605261951084,6.902490901312037e-11,1.0486485508858188e-10
log,Constitution,8.48502229159844e-206,0.0,8.48502229159844e-206,0.0,3.742145429279458e-21,8.260920507457881e-21,1.4499816318192395e-08,3.227156734875108e-08,0.03892121814207426,0.027044450343635944,0.08648121661846209,0.06521727048163177,0.6458624539726902,0.36184454111990416,1.6382157895200444e-05,3.615545822730951e-05
log,Estate,5.96055985198189e-276,0.0,5.96055985198189e-276,0.0,3.824532792266556e-27,7.979020883466062e-27,3.97101235556853e-15,6.476023166006772e-15,0.6932998840958116,0.2374132718405187,0.6463887648699862,0.17070028254178493,0.006893371248807541,0.00824275287979546,2.8245548877455017e-11,4.2808072394839935e-11
log,EstateFP,1.2071411926804832e-131,2.6992497652669973e-131,1.2071411926804832e-131,2.6992497652669973e-131,3.935188557670058e-15,7.740189213442666e-15,0.0001298400363263324,0.00025872767499053703,0.34722865524374397,0.13328966293236394,0.00021468324504201485,0.00028124566566493936,0.6831835933765564,0.24323582950412737,0.00531399034028508,0.009065956953001539
log,Fragment,3.0118705613977383e-152,6.7347473115559496e-152,3.0118705613977383e-152,6.7347473115559496e-152,5.829784842324707e-13,1.3012458132751336e-12,0.0440066202993144,0.038536946405673046,0.48122621171729885,0.1055686011759678,8.821562808270853e-08,6.54647514709267e-08,7.628029188815983e-12,9.402291231168602e-12,0.00343551163096992,0.0035051660748050325
log,InfoContent,3.3476668278831e-149,7.485610593166039e-149,3.3476668278831e-149,7.485610593166039e-149,1.2208086050147653e-17,2.7154467866245563e-17,2.0404168523687102e-14,3.517558159249648e-14,0.00493199019126004,0.0009366955538305683,0.03247388689377284,0.041993777475303654,0.22312130752948786,0.1705906330039631,1.9617654738574714e-10,3.3544035277719717e-10
log,Kappa,1.5593324821897027e-101,3.4858950858108734e-101,1.5593324821897027e-101,3.4858950858108734e-101,4.97343405250706e-14,6.690932169873902e-14,3.0537055026660546e-11,5.942061954099905e-11,0.012594254895370199,0.0019351473926720703,0.0101313562708521,0.005460541467491928,0.6430570308118979,0.20177969824402503,5.0789734143348754e-08,9.120254842076996e-08
log,MACCSFP,7.355909036537499e-277,0.0,7.355909036537499e-277,0.0,7.008569523427255e-25,9.63806831916899e-25,3.294562471632995e-05,3.773641429153939e-05,0.2683866586468629,0.05599970831185897,0.00029188688977501505,0.000411887632827679,0.19162735694117106,0.1964010721426673,0.009464545974453573,0.008838596690452982
log,MAP4,0.0,0.0,0.0,0.0,1.292015207495197e-47,2.8890338281273046e-47,3.2933397285177653e-28,7.34744538228645e-28,0.5205100416000652,0.18091215048376658,0.00046891938924686287,0.0004563200498506835,1.8859225399073392e-08,2.1518805402889176e-08,9.882056035577353e-23,2.1435668377092875e-22
log,MHFP6,0.0,0.0,0.0,0.0,7.926052555178621e-42,1.7613037194514482e-41,6.798948082526323e-10,1.517342011317013e-09,0.25697564761330727,0.23211527211310948,0.4615900445809801,0.4719798701042745,0.02498897196945498,0.03753689723987962,2.001827050029534e-07,4.433086174282184e-07
log,MOE,3.297470364280777e-278,0.0,3.297470364280777e-278,0.0,2.188555301217028e-28,4.887489924885135e-28,2.8254540595427994e-28,5.4259656313135055e-28,0.3552417237917136,0.12830380607875566,0.5727204626959889,0.1487558709041953,2.9382417559722105e-06,5.7776213412776114e-06,1.9337346615737433e-22,3.588374564936728e-22
log,Matrix,1.8798634295887993e-165,0.0,1.8798634295887993e-165,0.0,9.84636059296125e-19,2.1973540775213913e-18,3.794266370871619e-16,8.176271167101931e-16,0.04417183820166394,0.014017932388088091,0.16918016339259354,0.12483714292411778,0.17267347518506743,0.21893522347805047,3.806569301136772e-12,8.051177447675102e-12
log,MorganFP,0.0,0.0,0.0,0.0,1.8601113082237396e-45,4.159304740180309e-45,5.1005150172129705e-22,1.1401513509362223e-21,0.0889714143050184,0.10643075358965749,0.4353772254015558,0.2829596505301501,1.0533245575202769e-05,1.4109298446556791e-05,5.792091577962437e-17,1.2927846201625209e-16
log,Path,3.0683721123121316e-126,6.860975175688624e-126,3.0683721123121316e-126,6.860975175688624e-126,4.3552393688944985e-15,9.44606305027242e-15,3.071772663802289e-11,6.047891223893193e-11,0.05276594231489494,0.007182164566592648,0.05323391512152982,0.06072171300654126,0.27433197585344404,0.24249994105287104,1.3128039455410364e-07,2.371634157151521e-07
log,PharmacoErGFP,0.0,0.0,0.0,0.0,8.569698002520647e-28,1.9162427254260405e-27,1.055266137668805e-21,1.466290809459506e-21,0.11165208477300856,0.05509855759914472,0.10749838588779226,0.0801112915878094,1.4575968324546176e-05,2.00413059025418e-05,4.564087725715681e-17,6.33072672876033e-17
log,PharmacoPFP,0.0,0.0,0.0,0.0,1.0313114435993134e-30,2.297520650262815e-30,0.2514299662770779,0.34108144078423513,0.00167033475955708,0.00045136254262890136,0.00013446927548344738,0.00021762473170502475,0.006466907938874918,0.008231761018560792,0.41653794882405853,0.35209952979960896
log,Property,2.344443212498977e-144,5.242334356208192e-144,2.344443212498977e-144,5.242334356208192e-144,8.527589119555656e-18,1.8497877588346593e-17,1.2621938968337958e-09,2.4393718610171543e-09,0.00489475957625832,0.0005343236244383839,5.939750620451254e-05,3.843052147319518e-05,0.7694518831333672,0.2657694849727881,5.775889338713178e-07,1.0194544955315078e-06
log,PubChemFP,0.0,0.0,0.0,0.0,1.297304306865655e-35,2.863294341321405e-35,6.939537218948406e-05,2.1665113225556552e-05,0.00245708521420206,0.0007214079836756915,1.301269999599454e-05,2.4119141234133378e-05,0.00228702996042744,0.0024326482769220907,0.011213674712198921,0.0029511078522947874
