model,feat,train_FN,train_FN_std,val_FN,val_FN_std,test_FN,test_FN_std,ext_FN,ext_FN_std,rmSim_0.6,rmSim_0.6_std,rmSim_0.7,rmSim_0.7_std,rmSim_0.8,rmSim_0.8_std,rmSim_0.9,rmSim_0.9_std
log,Fragment,584.2,10.281050529979892,584.2,10.281050529979892,73.8,7.463243262818115,151.6,9.289779329994875,0.0,0.0,21.0,0.0,106.4,0.8944271909999153,140.2,7.563068160475616
log,PubChemFP,289.8,9.602083107326244,289.8,9.602083107326244,44.2,6.340346993658944,120.2,4.266145801540307,3.0,0.0,16.8,2.489979919597746,106.2,3.7682887362833535,119.6,4.098780306383838
log,Connectivity,459.2,11.882760622010354,459.2,11.882760622010354,56.8,6.797058187186573,120.0,5.244044240850757,3.0,0.0,16.8,0.4472135954999576,102.8,4.816637831516919,119.0,5.244044240850757
log,MACCSFP,406.6,16.86119805944998,406.6,16.86119805944998,53.2,10.256705123966467,118.4,2.70185121722126,2.0,0.0,17.0,0.7071067811865476,92.0,1.2247448713915898,115.4,2.607680962081058
log,Path,598.8,10.034938963441675,598.8,10.034938963441675,68.4,6.618156843109717,116.6,11.696153213770756,3.0,0.0,11.6,1.3416407864998738,94.4,9.37016542009798,113.0,11.532562594670797
log,Kappa,632.2,13.736811857195974,632.2,13.736811857195974,76.2,8.5848704125339,113.8,5.263078946776306,3.0,0.0,14.2,0.447213595499958,101.8,5.263078946776306,111.8,5.263078946776306
log,Constitution,497.8,11.606032913963324,497.8,11.606032913963324,62.6,9.423375191511797,111.6,8.677557259966656,2.4,0.5477225575051662,16.8,3.271085446759225,92.8,6.180614856144979,108.0,8.336666000266533
log,Property,557.0,13.076696830622009,557.0,13.076696830622009,68.6,7.602631123499286,109.2,7.049822692805826,3.0,0.0,15.0,1.414213562373095,83.8,7.39594483484024,102.4,7.402702209328697
log,Topology,550.8,8.642916174532749,550.8,8.642916174532749,68.6,9.181503144910424,106.8,7.328028384224504,2.0,0.0,13.4,0.8944271909999157,85.4,6.877499545619758,102.4,6.985699678629191
log,EstateFP,565.6,20.77979788159645,565.6,20.77979788159645,68.4,5.412947441089743,105.2,1.7888543819998324,1.2,0.4472135954999579,15.4,1.949358868961793,76.0,2.1213203435596424,100.2,1.7888543819998324
log,Charge,492.4,14.92648652563624,492.4,14.92648652563624,56.8,5.805170109479998,98.4,7.536577472566708,3.0,0.0,9.2,0.4472135954999581,77.2,7.726577508832742,94.0,7.84219357067906
log,Autocorr,242.2,9.70566844684074,242.2,9.70566844684074,35.4,3.2093613071762417,95.0,6.892024376045112,1.2,0.8366600265340756,11.4,2.5099800796022267,67.0,9.246621004453464,88.4,8.561541917201597
log,AvalonFP,117.6,5.029910535983717,117.6,5.029910535983717,29.4,4.878524367060187,94.8,7.014271166700073,0.2,0.4472135954999579,10.4,1.140175425099138,78.8,6.833739825307955,91.4,6.6932802122726045
log,InfoContent,602.0,21.20141504711418,602.0,21.20141504711418,74.6,10.691117808723275,94.0,1.7320508075688772,3.0,0.0,16.0,0.0,81.6,2.509980079602225,93.0,1.7320508075688772
rf,EstateFP,331.2,19.8292712927127,331.2,19.8292712927127,51.6,11.013627921806693,90.2,10.709808588392232,1.0,0.0,11.2,0.4472135954999581,68.6,8.44393273303382,88.0,10.464224768228174
log,Matrix,570.4,10.502380682492896,570.4,10.502380682492896,71.0,10.67707825203131,88.6,11.436782764396638,3.0,0.0,11.4,1.3416407864998738,79.4,9.6591925128346,87.4,11.304866208850065
log,PharmacoPFP,344.2,10.986355173577817,344.2,10.986355173577817,49.8,6.978538528947161,84.0,12.389511693363866,3.0,0.0,12.0,2.345207879911715,58.4,9.01665126307988,76.2,11.211601134539167
log,PharmacoErGFP,354.6,23.07162759754934,354.6,23.07162759754934,50.8,5.674504383644442,83.6,9.762171889492626,2.8,0.4472135954999578,11.4,2.073644135332772,63.4,7.231873892705819,77.8,9.257429448826494
svm,PubChemFP,51.0,4.636809247747852,51.0,4.636809247747852,11.2,2.9495762407505253,78.6,9.93981891183134,3.0,0.0,11.6,1.140175425099138,72.0,7.874007874011811,78.4,9.607288899580364
svm,AvalonFP,9.4,2.4083189157584592,9.4,2.4083189157584592,11.2,1.9235384061671343,78.0,8.0,0.0,0.0,10.0,0.7071067811865476,66.4,10.35857133006285,75.8,9.148770409186143
svm,MACCSFP,81.8,9.093954035511723,81.8,9.093954035511723,12.6,2.8809720581775866,65.8,7.758865896508328,0.8,0.4472135954999579,9.2,1.7888543819998317,57.0,7.968688725254614,65.8,7.758865896508328
log,MOE,381.0,12.942179105544785,381.0,12.942179105544785,50.0,7.745966692414834,63.4,6.387487769068525,2.0,0.0,16.4,1.1401754250991378,57.0,5.0990195135927845,61.4,6.387487769068525
fcnn,PubChemFP,54.4,6.54217089351845,54.4,6.54217089351845,13.2,5.974947698515862,63.2,13.179529581893275,2.0,0.0,7.8,2.3874672772626644,60.0,12.308533625091172,63.2,13.179529581893275
log,Estate,400.6,12.30040649734796,400.6,12.30040649734796,51.0,8.154753215150045,62.2,6.220932405998316,0.8,0.8366600265340756,6.2,1.4832396974191326,48.2,5.540758070878027,60.0,6.48074069840786
DMPNN,PubChemFP,24.6,28.887521335152464,24.6,28.887521335152464,17.6,5.232377832092956,54.8,15.824032355881986,2.0,0.0,7.8,2.440400695696417,50.4,15.457468529268732,54.2,16.157557571200748
xgb,Fragment,63.4,8.294576541331086,63.4,8.294576541331086,16.6,6.148170459575759,51.6,3.781534080237808,1.2,0.4472135954999579,9.2,1.9235384061671343,44.8,4.816637831516918,49.2,4.207136793592525
svm,Constitution,81.6,9.154233993076646,81.6,9.154233993076646,11.0,2.9154759474226504,49.4,17.271363582531635,1.0,0.0,6.4,1.51657508881031,42.4,13.408952233489387,48.2,16.437761404765553
log,MHFP6,0.0,0.0,0.0,0.0,21.8,4.08656334834051,49.2,11.166915420114902,2.4,0.5477225575051662,9.0,3.741657386773941,38.4,9.343446901438462,45.8,10.401922899156675
fcnn,Autocorr,49.6,20.032473636573197,49.6,20.032473636573197,13.6,2.0736441353327724,49.0,5.385164807134505,0.4,0.5477225575051662,8.0,1.8708286933869709,38.2,4.207136793592526,48.0,5.385164807134505
xgb,Topology,25.8,4.54972526643093,25.8,4.54972526643093,18.2,5.263078946776307,47.4,2.302172886644269,2.6,0.5477225575051661,9.8,1.6431676725154982,41.8,3.633180424916991,47.0,2.8284271247461903
rf,Fragment,111.8,9.549869109050658,111.8,9.549869109050658,27.0,8.426149773176359,47.0,3.741657386773942,0.8,0.4472135954999579,6.6,2.0736441353327724,44.2,3.3466401061363027,44.8,3.633180424916989
xgb,Path,21.8,3.114482300479488,21.8,3.114482300479488,20.8,5.848076606885378,47.0,5.787918451395113,1.2,0.4472135954999579,4.2,1.4832396974191326,37.0,6.324555320336759,46.4,5.412947441089744
DMPNN,Autocorr,20.0,12.0,20.0,12.0,15.8,2.699794230842212,46.6,6.345602151621756,0.4,0.5163977794943222,8.2,1.5491933384829668,35.6,5.680375574437544,44.8,6.511528238439882
svm,MAP4,3.2,1.095445115010332,3.2,1.095445115010332,14.2,2.9495762407505253,46.4,9.50263121456368,3.0,0.0,6.0,1.224744871391589,38.2,7.5960516059331775,44.0,7.905694150420949
log,MAP4,17.4,3.049590136395381,17.4,3.049590136395381,20.2,4.324349662087931,45.0,5.3385391260156565,3.0,0.0,6.0,1.224744871391589,38.0,4.358898943540674,43.0,4.636809247747851
DMPNN,PharmacoErGFP,57.2,20.756792730199056,57.2,20.756792730199056,14.4,5.189733454940949,42.6,4.402019738458449,1.4,0.5163977794943222,3.2,0.4216370213557838,36.2,4.237399621885521,41.2,4.184627953726725
log,TorsionFP,209.8,7.29383301152419,209.8,7.29383301152419,32.6,2.9664793948382657,42.0,14.491376746189438,3.0,0.0,6.2,2.280350850198276,29.8,9.338094023943,39.8,14.481022063376605
xgb,Kappa,24.0,3.872983346207417,24.0,3.872983346207417,25.4,4.8270073544588685,41.8,4.764451699828639,3.0,0.0,7.2,1.4832396974191324,37.8,4.324349662087932,40.6,4.6690470119715
log,AtomPairFP,67.2,4.324349662087931,67.2,4.324349662087931,23.8,2.3874672772626644,41.6,7.300684899377591,2.0,0.0,8.0,1.2247448713915892,33.8,8.378544026261364,39.8,7.395944834840238
xgb,PharmacoErGFP,53.4,6.107372593840988,53.4,6.107372593840988,12.0,2.7386127875258306,41.6,5.319774431308154,1.2,0.4472135954999579,3.8,0.8366600265340756,37.0,3.24037034920393,40.2,5.215361924162119
svm,PharmacoErGFP,49.4,6.877499545619759,49.4,6.877499545619759,9.6,5.594640292279746,41.4,3.2093613071762426,2.0,0.7071067811865476,3.6,1.51657508881031,35.0,1.8708286933869709,40.8,3.033150177620621
svm,TorsionFP,35.8,4.08656334834051,35.8,4.08656334834051,10.2,4.658325879540846,41.0,20.03746490951388,3.0,0.0,7.0,3.391164991562634,29.4,12.83744522870497,40.0,19.63415391607186
fcnn,Charge,86.2,19.677398201998148,86.2,19.677398201998148,14.4,3.435112807463533,40.2,4.32434966208793,2.6,0.5477225575051661,4.6,1.140175425099138,35.2,2.280350850198275,40.2,4.32434966208793
DMPNN,MAP4,7.4,5.103375789067903,7.4,5.103375789067903,13.2,2.14993539954628,40.2,3.224903099319419,3.0,0.0,5.8,0.7888106377466155,37.6,3.3065591380365986,39.0,3.527668414752788
svm,MHFP6,0.0,0.0,0.0,0.0,15.2,2.588435821108957,40.0,7.905694150420948,1.8,0.4472135954999579,6.8,1.4832396974191326,30.2,5.805170109479997,37.4,6.913754406977442
rf,PharmacoErGFP,169.8,12.31665539016173,169.8,12.31665539016173,30.4,3.646916505762094,39.2,1.3038404810405302,2.4,0.5477225575051662,4.4,0.547722557505166,34.8,1.0954451150103324,37.8,1.0954451150103324
svm,AtomPairFP,5.0,2.1213203435596424,5.0,2.1213203435596424,12.6,2.3021728866442674,38.0,8.860022573334675,2.2,0.8366600265340756,8.2,2.683281572999748,32.6,7.733045971672482,36.6,8.87693640846886
svm,Charge,62.4,6.024948132556826,62.4,6.024948132556826,9.0,2.23606797749979,37.0,3.1622776601683795,1.8,0.4472135954999579,4.2,1.6431676725154982,33.0,2.345207879911715,37.0,3.1622776601683795
xgb,Charge,6.4,1.51657508881031,6.4,1.51657508881031,14.0,2.345207879911715,35.8,4.024922359499622,2.8,0.447213595499958,5.2,0.8366600265340756,35.0,3.741657386773941,35.4,4.09878030638384
fcnn,PharmacoErGFP,55.6,3.435112807463533,55.6,3.435112807463533,9.6,3.2093613071762426,35.6,1.1401754250991378,2.8,0.4472135954999579,4.6,0.5477225575051662,32.6,1.1401754250991378,34.6,1.1401754250991378
DMPNN,AvalonFP,22.4,17.570176752415186,22.4,17.570176752415186,14.4,4.351245032554859,34.4,15.079050957463398,1.2,0.4216370213557839,6.0,1.3333333333333333,31.6,14.025373831421076,32.8,14.748257900888197
xgb,AvalonFP,11.2,2.387467277262665,11.2,2.387467277262665,12.0,2.345207879911715,34.4,13.29661611087573,1.6,0.5477225575051661,3.6,2.073644135332772,33.0,13.152946437965904,33.0,13.152946437965904
xgb,Property,12.8,2.280350850198276,12.8,2.280350850198276,20.4,4.335896677735761,33.4,6.54217089351845,1.8,0.4472135954999579,9.4,2.701851217221259,30.0,7.582875444051551,31.8,7.362064927722384
fcnn,EstateFP,92.2,4.764451699828639,92.2,4.764451699828639,12.2,3.1144823004794877,33.4,5.549774770204643,0.2,0.4472135954999579,2.2,0.4472135954999579,32.6,4.979959839195494,33.4,5.549774770204643
rf,Charge,15.6,2.9664793948382653,15.6,2.9664793948382653,12.6,4.39317652729776,32.2,1.3038404810405304,2.6,0.5477225575051662,3.6,0.5477225575051662,31.4,1.1401754250991376,31.4,1.1401754250991376
rf,AtomPairFP,14.0,4.47213595499958,14.0,4.47213595499958,11.0,2.23606797749979,31.8,3.5637059362410923,3.0,0.0,4.0,0.0,30.2,3.6331804249169903,30.2,3.6331804249169903
svm,Autocorr,34.4,6.58027355054484,34.4,6.58027355054484,9.2,1.4832396974191326,31.8,8.555699854482976,1.4,0.8944271909999159,8.0,1.4142135623730951,22.4,4.09878030638384,30.4,7.300684899377591
svm,Estate,103.2,6.906518659932805,103.2,6.906518659932805,13.2,1.643167672515498,31.6,2.190890230020664,0.4,0.5477225575051661,1.8,0.4472135954999579,29.0,1.2247448713915887,31.6,2.190890230020664
svm,Connectivity,56.6,6.188699378706321,56.6,6.188699378706321,8.0,4.242640687119285,31.6,2.8809720581775866,1.2,0.4472135954999579,7.6,0.8944271909999159,31.4,2.7928480087537886,31.6,2.8809720581775866
xgb,EstateFP,76.0,9.565563234854496,76.0,9.565563234854496,12.2,3.7013511046643495,31.4,2.966479394838265,1.0,0.7071067811865476,3.8,1.4832396974191326,31.2,2.949576240750525,31.4,2.966479394838265
DMPNN,MACCSFP,27.0,24.340181684704916,27.0,24.340181684704916,13.6,2.796823595120404,31.2,8.804039476916895,2.4,0.5163977794943222,8.4,2.1705094128132942,30.0,7.859884081701064,31.2,8.804039476916895
rf,PharmacoPFP,121.0,21.61018278497431,121.0,21.61018278497431,27.6,5.128352561983234,30.2,7.981227975693965,3.0,0.0,5.4,0.5477225575051662,22.4,7.26636084983398,26.0,7.582875444051551
xgb,PharmacoPFP,40.8,4.549725266430929,40.8,4.549725266430929,15.8,2.280350850198276,30.2,6.978538528947161,3.0,0.0,7.6,3.286335345030997,25.0,6.892024376045111,27.4,7.635443667528429
xgb,MAP4,4.2,1.4832396974191326,4.2,1.4832396974191326,13.2,1.9235384061671343,29.4,8.049844718999243,3.0,0.0,5.0,1.2247448713915892,28.2,7.429670248402684,28.8,8.043631020876083
xgb,AtomPairFP,6.0,0.7071067811865476,6.0,0.7071067811865476,12.0,1.8708286933869709,29.4,11.013627921806693,2.8,0.4472135954999578,9.2,2.16794833886788,27.0,11.113055385446437,28.2,11.41052146047673
DMPNN,Estate,23.6,14.276632033579286,23.6,14.276632033579286,14.0,7.055336829505575,29.2,10.982814858779246,1.8,0.4216370213557839,5.0,2.6666666666666665,29.0,11.095544651395493,29.0,11.095544651395493
DMPNN,RDkitFP,22.8,11.003029885748138,22.8,11.003029885748138,16.4,5.872724145478731,28.6,7.229568912920511,3.0,0.0,4.6,0.8432740427115678,26.8,7.254117604658903,26.8,7.254117604658903
xgb,TorsionFP,27.8,2.1679483388678804,27.8,2.1679483388678804,12.8,3.420526275297414,28.6,1.1401754250991378,2.6,0.5477225575051662,7.2,1.3038404810405295,23.6,1.3416407864998738,28.2,1.4832396974191326
DMPNN,AtomPairFP,16.0,7.512951779723097,16.0,7.512951779723097,14.6,3.0983866769659336,28.2,13.25644497342079,3.0,0.0,7.6,3.3065591380365986,25.0,11.450376024878446,26.8,12.813187650923474
fcnn,MACCSFP,75.2,8.012490249604053,75.2,8.012490249604053,14.4,4.03732584763727,28.2,6.379655163094633,0.6,0.5477225575051661,3.6,1.6733200530681511,26.0,7.035623639735144,28.2,6.379655163094633
xgb,RDkitFP,4.2,0.8366600265340756,4.2,0.8366600265340756,11.8,3.420526275297414,28.0,5.916079783099616,2.8,0.4472135954999579,3.8,0.4472135954999579,26.8,5.805170109479997,26.8,5.805170109479997
xgb,Matrix,17.0,2.0,17.0,2.0,20.0,2.121320343559643,27.6,5.8991524815010505,2.0,0.0,4.6,0.894427190999916,24.6,4.979959839195493,27.0,5.787918451395113
fcnn,Fragment,63.8,3.4928498393145966,63.8,3.4928498393145966,11.6,2.1908902300206647,27.6,4.6690470119715,0.0,0.0,3.0,1.5811388300841898,23.8,4.604345773288536,25.6,4.6690470119715
